Date : 2024-09-11 10:38:51
Directory : e:\Vue\sakai-vue-master
Total : 112 files,  24934 codes, 316 comments, 1222 blanks, all 26472 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Vue\sakai-vue-master\src\views\pages\NotFound.vue                  | vue                |         62 |          0 |          2 |         64 |
| e:\Vue\sakai-vue-master\src\views\pages\PriceCompare.vue              | vue                |        255 |          0 |         15 |        270 |
| e:\Vue\sakai-vue-master\src\views\pages\PriceSearch.vue               | vue                |        205 |          0 |         17 |        222 |
| e:\Vue\sakai-vue-master\src\views\pages\Profile.vue                   | vue                |        285 |          1 |         21 |        307 |
| e:\Vue\sakai-vue-master\src\views\pages\Purpose.vue                   | vue                |        225 |          0 |         16 |        241 |
| e:\Vue\sakai-vue-master\src\views\pages\SaleSearch.vue                | vue                |        156 |         61 |         13 |        230 |
| e:\Vue\sakai-vue-master\src\views\pages\SalesAnalysis.vue             | vue                |        447 |          3 |         44 |        494 |
| e:\Vue\sakai-vue-master\src\views\pages\SalesTrend.vue                | vue                |        330 |          0 |         26 |        356 |
| e:\Vue\sakai-vue-master\src\views\pages\auth\Access.vue               | vue                |         25 |          0 |          2 |         27 |
| e:\Vue\sakai-vue-master\src\views\pages\auth\Error.vue                | vue                |         25 |          0 |          2 |         27 |
| e:\Vue\sakai-vue-master\src\views\pages\auth\Login.vue                | vue                |        106 |          0 |         14 |        120 |
| e:\Vue\sakai-vue-master\src\views\pages\auth\Register.vue             | vue                |         95 |          0 |         15 |        110 |
| e:\Vue\sakai-vue-master\src\views\uikit\ButtonDoc.vue                 | vue                |        194 |          0 |          5 |        199 |
| e:\Vue\sakai-vue-master\src\views\uikit\ChartDoc.vue                  | vue                |        255 |          0 |         15 |        270 |
| e:\Vue\sakai-vue-master\src\views\uikit\CustomePaginator.vue          | vue                |        103 |          1 |         12 |        116 |
| e:\Vue\sakai-vue-master\src\views\uikit\FileDoc.vue                   | vue                |         32 |          0 |          5 |         37 |
| e:\Vue\sakai-vue-master\src\views\uikit\FormLayout.vue                | vue                |        113 |          0 |          9 |        122 |
| e:\Vue\sakai-vue-master\src\views\uikit\InputDoc.vue                  | vue                |        225 |          0 |         24 |        249 |
| e:\Vue\sakai-vue-master\src\views\uikit\ListDoc.vue                   | vue                |        152 |          0 |         12 |        164 |
| e:\Vue\sakai-vue-master\src\views\uikit\MenuDoc.vue                   | vue                |        503 |          0 |         12 |        515 |
| e:\Vue\sakai-vue-master\src\views\uikit\MessagesDoc.vue               | vue                |         60 |          0 |          9 |         69 |
| e:\Vue\sakai-vue-master\src\views\uikit\MiscDoc.vue                   | vue                |        177 |          0 |         21 |        198 |
| e:\Vue\sakai-vue-master\src\views\uikit\OverlayDoc.vue                | vue                |        167 |          0 |         21 |        188 |
| e:\Vue\sakai-vue-master\src\views\uikit\PanelsDoc.vue                 | vue                |        206 |          0 |         11 |        217 |
| e:\Vue\sakai-vue-master\src\views\uikit\TableDoc.vue                  | vue                |        360 |          0 |         32 |        392 |
| e:\Vue\sakai-vue-master\src\views\uikit\TimelineDoc.vue               | vue                |        150 |          0 |         10 |        160 |
| e:\Vue\sakai-vue-master\src\views\uikit\TreeDoc.vue                   | vue                |         26 |          0 |          5 |         31 |
| e:\Vue\sakai-vue-master\tailwind.config.js                            | JavaScript         |         41 |          1 |          1 |         43 |
| e:\Vue\sakai-vue-master\vercel.json                                   | JSON               |          9 |          0 |          0 |          9 |
| e:\Vue\sakai-vue-master\vite.config.mjs                               | JavaScript         |         39 |          4 |          3 |         46 |
| Total                                                                 |                    |     24,934 |        316 |      1,222 |     26,472 |
+-----------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
